item,frase,vies,pergunta,respA,respB
0,O garoto pediu comida pelo aplicativo.,treino,<b>Quantos garotos pediram comida?</b>,Apenas um,Mais de um
1,A menina comprou a bicicleta.,treino,<b>Quantas bicicletas a menina comprou?</b>,Apenas uma,Mais de uma
2,Os cadernos caíram da mesa.,treino,<b>Quantas mesas havia?</b>,Apenas uma,Mais de uma
3,O carro bateu no muro.,treino,<b>Quantos carros bateram no muro?</b>,Apenas um,Mais de um
4,As empregadas chegaram cedo.,treino,<b>Quantas empregadas chegaram cedo?</b>,Apenas uma,Mais de uma
